joke,"He smiled thinly , savoring his joke ."
tick,"In the command centers there are special clocks ready to tick off the minutes elapsed since `` E hour '' ."
smirk,"A sudden thought wiped the smirk from his face ."
query,"In answer to a New York Times query on what is fame ( `` Thoughts On Fame '' , October 23 , 1960 ) , Carl said : `` Fame is a figment of a pigment ."
dash,"This is nothing more than a dash ."
spider,"Also fine are Sue Lawless , as a mother more protective and belligerent than a female spider and just as destructive , Harold Cherry , as her scratchy spouse , and Hildy Weissman , as a vegetable in human form ."
quicken,"The weight of fame and history is formidable , and dreary steel engravings in schoolbooks do little to quicken interest and imagination ."
donkey,"They will -- when they give up the donkey and the elephant ."
vigor,"Moreover , she had physical as well as mental vigor ."
forming,"But the words were forming ."
faker,"The gadget faker operates or sells his phony machines for $5 to $10,000 -- anything the traffic will bear ."
complied,"She hastily complied ."
bitch,"`` You cheap bitch '' !"
scope,"These studies vary widely in scope and precision ."
mineralogy,"For example , there are persons who are in physical science , in the field of mineralogy , trained in crystallography , who use only X-rays , applying only the powder technique of X-ray diffraction , to clay minerals only , and who have spent the last fifteen years concentrating on the montmorillonites ; ; or persons in the social sciences in the field of anthropology , studying the lung capacity of seven Andean Indians ."
stolid,"For three days , their stolid oxen had plodded up a blazing valley as flat and featureless as a dead sea ."
clog,"One tiny detail in a happening can clog the memory and stick like meat in a crooked tooth , while the rest of the occurrence will go hazy and uncertain ."
usher,"She was not an overnight guest in the White House , but Mr. Ike Hoover , the chief usher , had Mama check her fur coat when she came in , and take care of her needs ."
sorely,"But as November 1924 drew close the Democratic hierarchy was sorely troubled by grapevine reports that O'Banion was being wooed by the opposition , and was meeting and conferring with important Republicans ."
dragon,"( If a dragon or a sea monster came along , didn't he have a red Swiss hunting knife on his belt -- ten blades and a corkscrew ?"
winged,"During that tournament alone , some 250,000 words winged their way out of Manchester ."
foliage,"Down the tree he scrambled and knelt at the edge of foliage ."
carbine,"A carbine cracked more loudly , and a slug clipped fragments from the brush off at one side ."
polarized,"Recent interferometer measurements ( Radhakrishnan and Roberts , 1960 ) have shown the 960-mc emission of Jupiter to be partially polarized and to originate in a region of larger diameter than the visible disk ."
retch,"Hoag stumbled back into the hall , leaned against the wall , and started to retch ."
divorce,"Hal gasped , and he said , `` A divorce '' ?"
gild,"Set the apples in the pastry-lined tin , spread over them three tablespoonfuls of softened butter , with as much brown sugar , a sprinkling of nutmeg , and a fresh bay leaf , then lay on a cover of pastry , and gild it with beaten yolk of egg ."
tenor,"One diplomat described the tenor of Secretary of State Dean Rusk's speeches as `` inconclusive '' ."
latched,"We were forbidden to swing on the gates , lest they sag on their hinges in a poor-white-trash way , but we could stand on them , when they were latched , rest our chins on the top , and stare and stare , committing to memory , quite unintentionally , all the details that lay before our eyes ."
carte,"How strange it was that he could give her this handsome house and carte blanche as to its beautiful furnishings , and fail her in -- spiritual ways ."
split,"By our policy the West was -- is -- split ."
sundry,"Complete with crowd effects , interruptions by jet planes , and sundry other touches of realism , this disc displays London's new technique to the best effect ."
nuclear,"`` Throw a little nuclear hardware at them !"
diam,"The pilot plant was a circular lagoon 81 ft in diam at the surface and 65 ft in diam at the bottom , 4 ft below the surface , with a volume of 121,000 Aj ."
bumpin,"Dirty Reactionary bastards comin down here in the night and bumpin off ol Slater and those other poor bastards ."
shouting,"Montero was shouting ."
knob,"We'd been standing right outside Miss Bancroft's door and as I went to turn the knob to enter , I was surprised to find that the door was slightly ajar ."
govern,"The policies which govern the program 2 ."
twise,"The chancellor of the Exchequer wrote on the petition : `` in myn opinion it is very resonable and conscionable for hir maiestie to graunt in relief of this towne twise afflicted and almost wasted by fire '' ."
loin,"Besides the belt he wore a loin cloth ."
guide,"Below is a specific guide , keyed to the calendar ."
lung,"It had started two years ago when he was in an iron lung ."
spy,"One of those parts is that of evil , evil Barnaba , the spy ."
bond,"We first discuss the Af bond in Af ."
anchorite,"The anchorite strove , in fact , to magically influence the world of spirits in the same way that the divine emperor manifested his power ."
groan,"Cobb unleashed a single powerful jab that sent Gyp reeling wildly and crashing down with a whining groan ."
forgive,"`` Oh , do forgive me ."
begun,"It had begun with the blue jay feather ."
opaque,"She was like charcoal , he thought -- dark , opaque , explosive ."
charted,"His plan and intent were clearly charted ."
moved,"The gun moved ."
oyabun,"When would the oyabun like to bring his guests up here '' ?"
cone,"Fired to cone 06-05 ."
lewd,"It gave her a lewd , winking effect ."
brok,"They brok & run and Arch holored out to shoot the ornery suns of biches and we all let go at them ."
hinted,"If W. W.'s retiring soon , as hinted , he ain't talking -- yet ."
joust,"Hindemith's joust with Weber tunes was a considerably more serious misfortune , for it demands transluscent textures , buoyant rhythms , and astringent wit ."
harvesting,"The increase in mechanical harvesting of cotton makes cleaning and drying equipment a must for modern gin operation ."
rowdy,"A rowdy with a big blob of a nose roared ."
refocusing,"It was the season's first night game and an obvious refocusing of the lights are in order ."
premix,"Sheep and lambs -- 1.0 gram premix per head per day for promoting growth , feed conversion , and getting lambs on full feed earlier ."
costing,"Retirement Is an arbitrary retirement age of 65 actually costing your plant money ?"
cursed,"Bake cursed ."
since,"Ever since all that ."
angriest,"The cast : The angriest young man in Newport last night was at the Playhouse , where `` Epitaph For George Dillon '' opened as the jazz festival closed ."
certain,"That made a certain amount of logic ."
paw,"He rubbed his eyes sleepily with one huge paw ."
cafe,"They had Vermouth , sitting in front of a cafe ."
timely,"Any failure to file timely returns or make estimated tax payments when due must be fully explained ."
outwardly,"Each pin is individually sprung to a tensioning member which is driven outwardly in the slot ."
hike,"Vending machines can alleviate the long hike to the cafeteria during the break with resulting waste of production time ."
sop,"And using him , Mike McLish , as a sop to her pride ."
near,"The many-bodied girl lay near him ."
icy,"It was icy cold and tasted delicious ."
coat,"The tweed coat , maybe ."
pound,"Each plane carried two five-hundred pound bombs ."
sparked,"Her temper sparked like charcoal when it first lights up ."
gain,"Often she fails to gain sexual satisfaction '' ."
wicked,"Do not let the wicked spirits enter your brain '' ."
rouge,"Le rouge et le noir ."
jointly,"Participation loans are those made jointly by the SBA and banks or other private lending institutions ."
withal,"A gentleman of the old school , Mr. Upton possessed intellectual power , ample means , and withal , was a devoted Christian ."
prince,"`` I have to see the facts '' , is the way the prince puts it ."
fronted,"Large warehouses flanked the street on which the hall fronted ."
fourth,"Watson looked for the fourth man ."
spun,"Means spun and spurred ."
third,"A third situation is possible ."
orbit,"All that day and Monday I drank just enough to orbit but not make deep space ."
had,"He hadn't ."
abortive,"In 1913 an abortive provision was made for the stay of federal injunction proceedings upon institution of state court test cases ."
rest,"`` No rest of it ."
troubling,"There was something troubling him though : as yet they hadn't Five days ."
induce,"`` The Tyranny Of Trivia '' suggests arbitrary alphabetical associations to induce slumber ."
subatomic,"For if the small group notion involves the implicit claim that the phenomena of sociological investigations are of atomic or subatomic proportions , the philosopher needs to know the extent to which such entities are valid ."
pray,"Open your heart to Him and pray , Stephen , pray !"
veto,"Overriding of mayoral veto on budget changes will require concurrence by board and Council , and a two-thirds vote ."
drab,"Without it she would have been drab and limp ."
voting,"No comments were made during the voting ."
hel,"I think you made a dam good chouise to turn off as nise a feler as Alf Dyer and let that orney thefin , drunkard , damed card playing sun of a bich com to sea you , the god damed theaf and lop yeard pigen tode helion , he is too orney for hel ."
overhang,"If a branch extended out too far , each man held it back for the next , and if they met a low overhang , each warned the other ."
scholar,"Therefore , the scholar , as he looks at our national folklore of the last 60 years , will be mindful of two facts ."
morgue,"The usual congratulatory crowd was conspicuously absent ; ; the place had the air of a morgue ."
balcony,"At General Power's seat in the balcony there is also a gold phone ."
shanty,"Grabski's shanty was beyond the bridge over the River Bystrzyca near the rail center ."
squat,"He waited in his squat , gripping the hair ."
patch,"A strange wood creature came floating up from a patch of berry bushes ."
flute,"He adjusted the hat , lifted the horn to his lips as though it were a flute , and fell in alongside our fingerprint expert to cavort with him ."
write,"We write this Af ."
shambled,"Behind them shambled a long column of weak , tattered men ."
slab,"Mickey felt his shoulders come up against the wall beside the heavy slab front door ."
dank,"He stopped pacing , leaned against the dank , timbered wall and let his mind drift ."
shaky,"He felt a good deal less shaky ."
labour,"By the end of the century the Roman Catholic Church was beginning to make itself felt , mainly through such institutions as hospitals but also through its attitude towards organized labour ."
stench,"The morning air was filled with the sweetish odor of new-spilled blood , the acrid stench of frightened horses , and the bitterness of burned powder ."
garish,"Gulf Springs was ten miles inland -- more of a quaint old coast town than those along the beach made garish by tourist attractions ."
singed,"Molten glare singed their eyelids an angry crimson ; ; suffocating air sapped their strength and strained their nerves to snapping ; ; dust choked their throats and lay like acid in their lungs ."
polite,"Rachel was polite , Scotty indifferent ."
bog,"But because of the peculiar nature of the military situation in Laos , the Soviet leader must be tempted to let things ride -- a course that would appear to cost him little on the spot , but would bog Washington in a tactical mess ."
calumny,"Here he was , suddenly caught up in the delirium of a war , in the spite and calumny of Whigs and Tories ."
mucking,"ExPe doesn't like anybody mucking up primary evidence '' ."
newly,"Of these exhibits , 154 were newly constructed ."
inshore,"At present the doctor's main concern was in seeing to it that Japanese salvage firms were not permitted to operate on the hulks of warships sunk too close inshore , because the work involved setting off nerve-shattering blasts at all hours ."
morphine,"An autopsy disclosed a large amount of morphine in Diane's body ."
sprawled,"He looked at where Roberts lay sprawled on the step ."
justly,"Occasionally , Seigner draws some justly deserved laughs by his quick shifts from one personality to another ."
croakin,"I hear the whole bunch is croakin out in the snow ."
gum,"Squire chewed his gum , his jaw moving in a steady rhythm ."
shave,"David began to shave with great sweeping strokes ."
crop,"An excellent crop was expected that year ."
kraut,"Serve the chili and kraut hot with the franks ."
captured,"Not captured , sent here ."
exotic,"( Which is understandable -- if you've ever sampled the exotic , peppery fare . )"
facile,"With their facile generalizations about the United States , these mediocrities , as they often were , had been great successes ."
lot,"That helped a lot ."
misty,"On a misty Sunday morning last month , a small band of militant anti-Communists called the Minutemen held maneuvers in a foggy field about fifteen miles east of here ."
playground,"Newest small-boat playground is the Salton Sea , a once-dry desert sinkhole which is now a salty lake 42 miles long and 235 feet below sea level ."
sylvan,"Another dilemma : As picturesque as a sylvan pond in the forest may be , trees offer a leaf and root hazard to the well-being of a pool ."
whoe,"Baker added : `` I pray you delivre these inclosed Letters And Comend mee to Mr. Rychard Mytton whoe I know will ffreind mee for the payment of this monei '' ."
begin,"And Arlene showed them how to begin ."
rhyme,"But there is every reason to regard deal as a monosyllable , and because of the fact that /l/ commonly has the quality of AAb/ when it follows vowel sounds , deal seems to be a perfectly satisfactory rhyme with deal ."
boucle,"From what I was able to gauge in a swift , greedy glance , the figure inside the coral-colored boucle dress was stupefying ."
airmen,"un off the Congo track Thirteen Italian airmen who went to the Congo to serve the cause of peace under the United Nations banner have instead met violent death at the hands of Congolese troops supposedly their friends ."
adjust,"`` There was only one power control -- a valve to adjust the fuel flow ."
nigh,"All went home happy except the Newport police , who feared that the throng departing at 6:35 might meet head-on the night crowd drawing nigh , and those deprived of their happy hour at the cocktail bar ."
yarn,"Do not draw yarn too tight ."
wreak,"Almost febrile in intensity , the principle has become worldwide in application -- unfortunately at the very time that nationalist fervors can wreak greatest harm ."
weary,"He felt unutterably weary ."
strafe,"`` There was also Gott strafe Angleterre '' , Moreland reminded me , `` and Carthago delenda est , or if you will , Deus strafe Carthage ."
switch,"I'll switch on the floods '' ."
outface,"They tried to outface him , but Joseph Simmons was as wide as two average men , and it would have taken braver men than these were to outface him ."
horned,"He saw the dark sweat spots flip in and out of sight under the patrolman's swinging arms and in the leather holster that swaggered and rolled at the side of his stocky body , the sun left a smoky shine on the narrow strip of blue metal that ran between the horned handles of his pistol ."
bovine,"This connection was clarified by Smith and Smith ( 1922 ) , who showed that saline extracts of fresh bovine pituitary glands could re-activate the atrophied thyroids of hypophysectomised tadpoles ."
wracking,"One hebephrenic woman often became submerged in what felt to me like a somehow phony experience of pseudo-emotion , during which , despite her wracking sobs and streaming cheeks , I felt only a cold annoyance with her ."
outsized,"`` No '' , Susan said , grappling with her outsized armload of dolls with a Scrooge-like effect ."
secondarily,"Man may also be injured secondarily by damage to his food crops or domestic animals ."
clawing,"They were covered with tiny white blossoms , their scant roots clawing at the stony ground , and wild birds darted in and about and through them so they were nearly alive with the rustle and cry ."
flick,"Angelina placed the tray on the table and with a flick of dark wrist drew off the cloth ."
argon,"The argon flow through the porous anode was varied systematically between Af and Af ."
brazil,"The kernels of brazil nuts , cashews , coconuts , filberts , hazelnuts , hickory nuts , pecans , walnuts , and pine nuts are predominantly oily ."
yuse,"Alf sed he heard that you and Hardy was a runing together all the time and he though he wod gust quit having any thing mor to doo with you for he thought it was no more yuse ."
rioted,"East River , downtown : postscript to a letter from Harlem the fact that American Negroes rioted in the U.N. while Adlai Stevenson was addressing the Assembly shocked and baffled most white Americans ."
flared,"Stevie flared ."
stung,"Her reply stung me , but this was too important to let my hurt make any difference ."
policy,"Does your policy have a lay-up clause ?"
euphoric,"In the past year there had been too many examples of his euphoric self-confidence and self-aggrandisement for their liking ."
ugly,"He was ugly ."
signal,"A signal ?"
widely,"They have widely varying backgrounds and aims ."
short,"That's short for Quintus ."
tung,"Oils , or liquid fats , from the seeds of flax and tung have long been the principal constituents of paints and varnishes for protecting and beautifying the surfaces of wood and metal ."
told,"She told me ."
him,"Help him !"
poked,"Ma poked her toe in the kid's clothes ."
doubly,"This was a doubly bitter blow to the king ."
longish,"Repnin , who had a rather narrow face , longish nose , high forehead , and arching brows , looked like a quizzical Mephistopheles ."
fort,"`` You hold down the fort , Nogol ."
mucker,"Ten years older than Mitch Barton , he had clawed his way up from mucker in the pits to manager of the operation ."
public,"The public ."
slim,"The slim pirogues in harmony with the majestically meandering Mekong River ."
failed,"That failed ."
confused,"They were becoming confused ."
tryin,"So you're not tryin , Johnson , you bastard you ."
kegful,"Every winter a kegful of this sauce was made and placed at the end of a row of four other kegs in the cellar , so that when its turn came , it was properly mellowed ."
dreaming,"He was only dreaming ."
china,"The china lemon tree ."
mildew,"Clothes hold their shape better , and mildew and rust become almost forgotten words ."
oaken,"They tracked mud on the oaken floor , on the carpet ."
juicy,"She was a juicy one ."
busted,"He don't care at all , and I don't care to get my head busted neither ."
proclaimed,"`` In the present '' , Felix proclaimed ."
chase,"I'll stampede the rest of these horses so they can't chase you '' ."
edgy,"His portrayal of an edgy head-in-the-clouds artist is virtually flawless ."
lodgment,"For them a box will be lodgment enough ."
educating,"These public efforts were rare because Mr. Rayburn normally did his counseling , persuading and educating long before an issue reached its test on the House floor ."
amity,"When , as a diplomatic gesture of amity and in payment for the loan of gunmen in the April election , Torrio had given O'Banion a slice of Cicero , the profits from that district had been $20,000 a month ."
hoist,"A Dr. Charles Taft clambered up on the stage and got the actors to hoist him up to the box ."
lined,"Telephone poles lined the road ."
pivot,"Prior to and since 1960 the rest of the support allotment is matched at rates related to the fiscal capacity of the State , with a pivot of 40% State ( or 60% Federal ) participation in total program costs ."
chief,"The chief's eyes gleamed ."
sneaky,"Tolley had no idea of marrying that sneaky little Jenny !"
spume,"One soft evening -- that marvelous sea-blessed time when the sun's departing warmth lingers and a smell of spume and wrack haunts everything -- Amy had picked herself off the floor and begun to walk ."
cousin,"Your cousin Finley saw to that ."
rotund,"As different physically as the tall , angular Jefferson was from the chubby , rotund Adams , the seven were striking individualists ."
stared,"I stared ."
pasty,"Under the trees , there was a dead redcoat , a young boy with a pasty white skin and a face full of pimples , who had taken a rifle ball directly between the eyes ."
monk,"What does a monk know about sex '' ?"
idly,"`` Maybe '' , Jack said idly , watching for Miss Langford ."
walkout,"This was the first word from Jensen on his sudden walkout ."
bough,"The only extended view possible to anyone less tall than the fences was that obtained from an upper bough of the apple tree ."
polarity,"If the polarity is correct , the platform will turn until the heading error angle is zero ."
inspect,"He was so long thinking that my mother had time to inspect her sherry for dregs ."
grave,"I think it was a grave error to print the article at this time ."
riot,"It would seem to represent esprit de corps run riot ."
fetid,"The man wheezed weakly , his fetid breath beating softly against Watson's neck ."
quality,"Check the quality of the water ."
parole,"Sing Sing's prisoner strike was motivated by a reasonable purpose , a fair break from parole boards ."
padlock,"It was secured by an oversized padlock ."
kale,"I raised some kale by hocking the good clothes I had left over from my respectable uptown life , but when that was gone I didn't have a cent ."
cur,"Piepsam calls the cyclist `` cur '' and `` puppy '' among other things , and at the crisis of his fit a little fox-terrier stands before him and howls into his face ."
signature,"Pumblechook's `` signature '' is the perpetually extended glad hand ."
guinea,"`` I'm not going to be one of your guinea pigs ."
scowling,"He went for more aspirin later in the day , and passed the surly landlord on the way -- he was still alive and scowling as usual , as if tenants were a burden in his life ."
cheating,"Thus Baptist churches on the frontier took cognizance of charges against their members of drunkenness , fighting , malicious gossip , lying , cheating , sexual irregularities , gambling , horse racing , and failure to pay just debts ."
weakly,"The man wheezed weakly , his fetid breath beating softly against Watson's neck ."
prow,"The girl in the prow of the outrigger turned a smile like a beacon on me ."
chord,"And a blaring final chord from the jazz group ."
movie,"My idea of masterful movie making ."
coasted,"The rock and roll music coming from the radio station suddenly faded as the boat coasted into the null on the Aj ."
mob,"El Dorado was surrounded by a mob ."
climaxed,"Their activities will be climaxed in the spring of 1962 when they go to Europe ."
solvating,"The washing process whereby soils are removed consists basically of applying mechanical action to loosen the dirt particles and dried matter in the presence of water which helps to float off the debris and acts , to some extent , as a dissolving and solvating agent ."
wonder,"It made Wilson wonder ."
vibrancy,"Helva's hum then had a curious vibrancy , a warm , dulcet quality even in its aimless chromatic wanderings ."
crawl,"Then he began to crawl again ."
servo,"In addition , the cutoff frequency for input accelerations is approximately proportional to the servo loop gain ; ; i.e."
tomb,"In this true lover's tomb interred A world of love lies sepulchred . ''"
nobler,"In `` My Song's Young Virgin Date '' , for example , Thompson wrote : `` Yea , she that had my song's young virgin date Not now , alas , that noble singular she , I nobler hold , though marred from her once state , Than others in their best integrity ."
whiz,"She's a whiz ."
inasmuch,"He ate litle that morning , and his mother became concerned , inasmuch as he usually ate heartily ."
argot,"It is , I am reliably given to understand , the technical argot for those who engage in your particular branch of the boost ; ; i.e."
hym,"No one , he wrote , took any corn of Greville's , for his bailiff of husbandry `` swore a greate oathe thatt who soe came to put hys hande into hys sackes for anye corne shuld leave hys hande behynde hym '' ."
equivocal,"It would be hard to find anything more equivocal than : `` I cannot recommend him too highly '' ."
busily,"Rather erotically he listened to the bath water running ; ; when it stopped he began busily typing , sitting up in a virtuous way ."
damp,"They were damp ."
gulf,"The gulf between the `` rich '' and the `` poor '' has narrowed , in the industrialized Western world , to the point that the word `` poor '' is hardly applicable ."
ohmic,"This is used as a reference for comparing the ohmic heating and the electrical energy obtained from the measured current through the element and the measured voltage across the element ."
flocking,"Fosdick had found the installations surrounded by a battery of saloons and houses of prostitution , with filles de joie from all over the country flocking to San Antonio , Laredo , and El Paso to `` woman the cribs '' ."
watchful,"Kid Boyd was unusually silent , Rankin watchful , a few paces apart ."
stocky,"They were stocky men , well fed and clean-shaven , with neat uniforms and sturdy boots ."
flashing,"Two cars came over a crest , their chrome and glass flashing ."
shame,"The little official hung his head in shame ."
trance,"As if in a trance , she repeats his words -- then realizes , with a shock , her own audacity ."
climbed,"You sure climbed fast , Jed ."
humanity,"Not defending England , or being an ace , or fighting for humanity ."
grad,"They seek thereby to lure the old grad back to the old scenes ."
drove,"I drove him away ."
risk,"She decided to risk it ."
cited,"This cited Bang-Jensen's ' aberrant conduct ' '' ."
oil,"No oil . )"
suitor,"Grigorss overcomes the suitor in battle , delivers the city from its oppressors and marries Sibylla who had fallen in love with the beautiful knight the moment she saw him ."
layer,"After planking , the bottom gets a layer of Fiberglas ."
defocusing,"As it will be discussed later , peripheral defocusing can be improved on by utilizing curved fiber couplers ."
unmasked,"But Michael Sept had unmasked him , revealing he had never been a bishop , but was an Anabaptist , afraid to state his faith , because he knew John Calvin had written a book against their belief that the soul slept after death ."
boulder,"The family at the boulder seeing an aborigine today is a difficult thing ."
amid,"And we had the uneasy sense that the cleavage between the moral and the political progressed amid the events which concern us ."
slump,"As he started to slump over , another warrior swung him onto his horse ."
abject,"His rage assumes a religious form ; ; that is , on the basis of his own sinfulness and abject wretchedness , Piepsam becomes a prophet who in his ecstasy and in the name of God imprecates doom on Life -- not only the cyclist now , but the audience , the world , as well : `` all you light-headed breed '' ."
vintage,"It was an excellent vintage ."
tango,"I'll make them dance the tango ."
sown,"Present conservation practices regard wildlife , not as an expendable natural resource , but as an annual harvest to be sown and also reaped ."
employing,"In Krutch's view , this is one way to show how literature may be moral in effect without employing the explicit methods of a moralist ."
shake,"I had to shake her to make her listen ."
swam,"She said sharks have no bones and shrimp swam backward ."
few,"Quite a few laughed ."
ironed,"While there are still many bugs to be ironed out , the technique is fast developing ."
baci,"Strings keep souls in place In the village of Soukhouma , which means `` Peaceful '' , we had a baci ."
hemolytic,"In an attempt to reverse the downhill trend by stimulating the bone marrow and controlling any hemolytic component , triamcinolone , 16 mg. daily , was begun on Sept. 26 , 1958 , and continued until Feb. 18 , 1959 ."
societal,"Religion is vitally necessary in both societal maintenance and regulation ."
let,"Now , let's go '' ."
varmint,"This is a varmint load , pure and simple ; ; it's much too explosive for small edible game ."
chantey,"I say chantey ."
pith,"Frequently a few isolated thick-walled cells or , rarely , groups of such cells in the xylem region , were also specifically stained , but there was no such staining in epidermis , cortex , most xylem cells , ray cells , or pith ."
bachelor,"A nice bachelor apartment in a place called the Lancaster Arms '' ."
ersatz,"Does the writer know the difference between an `` ersatz '' ballad or tall tale and a true product of the folk ?"
rebuilt,"27 , was rebuilt in its present shape by the Emperor Hadrian ."
hob,"They had courage but their meager training consisted of weekend hops in good weather , in and out of established airports , And the increasingly cold weather soon raised hob with the water cooled engines of their World War 1 , planes ."
sampling,"It provides a frame for the sampling census ."
pugh,"Japan , she said , smelled pugh because people let dead fish lie on the beaches till the fish got hard as rocks ; ; then they scraped off the mold and made fish soup ."
warmish,"The air smelled warmish and foul ."
kraft,"Sandwich panels for building utility shelters that consist of kraft paper skins and rigid styrene foam cores also aroused interest in the construction field ."
notable,"If this was in fact Mr. Remarque's intention he has achieved a notable failure ."
mastic,"The fixed window panels with louvers should have a good grade of 1/8-inch double-strength glass set in a mastic glazing compound ."
hurting,"She said , when she learned Jackie was heading home : `` I'm just speculating , but I have to think Jack feels he's hurting Boston's chances '' ."
cloak,"Despising luxuries of any sort for a soldier , he slept on a pile of hay with his cloak as blanket ."
imbued,"It was Bob Carroll , who had suddenly found himself imbued with the spirit of Garryowen ."
favorite,"This work is no favorite of mine ."
mindful,"The research team was very mindful of these dangers and limitations of a mail questionnaire ."
yea,"In any case , Miss Millay's sweet-throated bitterness , her variations on the theme that the world was not only well lost for love but even well lost for lost love , her constant and wonderfully tragic posture , so unlike that of Fitzgerald since it required no scenery or props , drew from the me that I was when I fell upon her verses an overwhelming yea ."
imply,"Those who favor placing trade unions under anti-trust laws imply that they are advocating a brand new reform ."
kinda,"`` If you kick too much , your leg gets kinda dead '' , he explained ."
worst,"The worst was yet to come ."
rain,"No , really , right as rain ."
clay,"Stoneware clay for tiles ."
mustering,"`` Moriarty '' , my driver suddenly exclaimed with something so definite , so final in his tone I once more repeated the absurdity , mustering all my latent powers of hypocrisy to sound convinced ."
patron,"Yet paradoxically my liberal friends continue to view Jefferson as one of their patron saints ."
gate,"At the gate he slowed , looking around ."
wont,"Perhaps there is more truth than we are wont to admit in the conviction of that ornament of Tarheelia , Robert Ruark's grandfather , who was persuaded that the great curse of the modern world is `` all this gallivantin' '' ."
moralist,"Others writing on Faulkner have found the phrase `` traditional moralist '' either inadequate or misleading ."
oui,"`` Mais , oui ."
lexicon,"It also overlooks the fact that in a rational lexicon , and quite clearly in More's lexicon , the opposite of serious is not gay but frivolous , and the opposite of gay is not serious but solemn ."
profitable,"It should be appallingly apparent that city-trading is not a profitable military tactic ."
launch,"This meeting was called to determine how these groups might cooperate to launch what is known as the Outdoor Education Project ."
speculator,"He had promised cheaper housing : arbitrarily he cut all rents in half , whether the landlord was a millionaire speculator or a widow whose only income was the rental of a spare room ."
law,"That's the law ."
tole,"Sturley quoted Quiney as having written on November 1 that if he had `` more monei presente much might be done to obtaine our Charter enlargd , ij faires more , with tole of corne , bestes , and sheepe , and a matter of more valewe then all that '' ."
formulating,"The temporary Peace Corps will be a source of information and experience to aid us in formulating more effective plans for a permanent organization ."
planetoid,"There is still the remote possibility of planetoid collision ."
creamy,"We collected `` lucky stones '' -- all the creamy translucent pebbles , worn smooth and round , that we could find in the driveway ."
loud,"He demanded out loud ."
deviant,"At no time was it implied by the experimenter that the subject's initial reaction was deviant ."
maitre,"In a daring stroke , the Senate ventured forth last week into the world of haute cuisine and hired a $10,000-per-year French-born maitre d'hotel ."
mantle,"Inheriting a more mature Mantle , who now has seen the sights on and off Broadway , Ralph Houk quietly bestowed , no pun intended , the mantle of authority on Mickey ."
normalize,"I am really ill at the present moment , and I will go to some sort of a sanitarium to normalize myself '' ."
dirty,"It was dirty and neglected ."
cruel,"How cruel !"
grate,"If you have a 6- to 8-inch drain pipe , you may easily wash out all the debris when the grate is out ."
mug,"He wanted to take the mother to headquarters at once and start her on the mug file ."
monastic,"The Dartmouth student does not live in monastic seclusion , as he once did ."
unteach,"`` And God help anyone who tries to unteach you '' !"
dimly,"The Golden Calf was dimly lit with shaded neon ."
towne,"Sturley thought that this matter might be `` the rest of the tithes and the College houses and landes in our towne '' ."
humbly,"For the President had dealt with the matter humbly , in what he conceived as the democratic way ."
buckshot,"Occasionally , the children find steamed , whole-wheat grains for cereal which they call `` buckshot '' ."
fetish,"The relic worship and monasticism of the Middle Ages were more advanced forms than were primitive fetish worship and nature myths ."
charting,"Linguistic charting of the transcribed interview flags points where the patient's voice departs from expected norms ."
armed,"He could not break in on an armed man ."
mint,"She was wise enough to realize a man could be good company even if he did weigh too much and didn't own the mint ."
futile,"An argument with Orville Torrence Killpath was as frustrating and as futile as a cap pistol on a firing range ."
submachine,"Even if it did not , how would this little world of gentle people cope with its new reality of grenades and submachine guns ?"
fondly,"She glanced at her companion fondly ."
relaying,"The reports of President Nasser's pledges which Hammarskjold was relaying from Cairo to Washington became increasingly incomprehensible to other diplomats , including the Israeli Foreign Minister , Mrs. Golda Meir ."
unlashed,"He unlashed the dipper and drew water from a barrel ."
income,"Adjusted gross income ."
acumen,"Their social status was achieved in some cases by birth , as with Washington , Jefferson and Jay ; ; in others by business and professional acumen , as with Franklin and Adams , or , in Hamilton's case , by an influential marriage ."
cortex,"Apparently , a positive feedback exists between the posterior hypothalamus and the cerebral cortex ."
unpredictably,"Through such details Dickens indicates at the outset that guilt is a part of the ironic bond between Pip and Magwitch which is so unpredictably to alter both their lives ."
dreamy,"It's like a flame , I guess '' , she said in a dreamy tone ."
play,"That is the play ."
beard,"He had long black hair and a wispy beard ."
brim,"His black hat with its wide brim , high crown , and fur trim rode high ."
trundle,"Moreover , because of the particular blot on your family escutcheon through what may only have been one unbridled moment on your grandmother's part , and because you had the lean-to kitchen and trundle bed of your childhood to outgrow , what you obviously most desired with both your conscious and unconscious person , what you bent your whole will , sensibility , and intelligence upon , was to be a lady ."
catkin,"Each male willow catkin is composed of a large number of small flowers ."
cased,"He provoked outraged editorials when , after a post-Inaugural inspection of the White House with Mrs. Kennedy , he remarked to reporters , `` We just cased the joint to see what was there '' ."
scouring,"Many scouring powders now also contain phosphates ."
olden,"It recalls to mind the quest of olden times for the fountain of youth , a quest heavily invested in , during the days of wooden ships ."
exporting,"If they have trouble exporting , international bill for their support will grow larger than it otherwise would ."
kin,"Neither his appetites , his exacerbations , nor his despair were kin to yours ."
rust,"When shed , they leave rust marks ."
stupid,"No one is stupid ."
avid,"Now , if Morton's newest product , a corn chip known as Chip-o's , turns out to sell as well as its stock did , the stock may turn out to be worth every cent of the prices that the avid buyers bid it up to ."
toner,"The large jar was brushed with Creek-Turn green toner and sponged off ."
lubra,"I turned to look at the lubra ."
spout,"To form spout , between two designs , dampen area slightly and gently push clay outward ."
